Principal Components Analysis
Call: principal(r = fl17_facs, nfactors = 10, rotate = "varimax")
Standardized loadings (pattern matrix) based upon correlation matrix
              RC4   RC2  RC10   RC1   RC7   RC6   RC3   RC8   RC9   RC5   h2
ili_15      0.72 2.2
bfi_1       0.43 1.2
bfi_2R      0.65 2.7
bfi_3       0.61 2.3
bfi_4       0.58 4.7
bfi_5       0.52 1.4
bfi_6R      0.55 1.3
bfi_7       0.51 1.8
bfi_8R      0.67 4.2
bfi_9R      0.46 2.3
bfi_10      0.57 1.8
bfi_11      0.50 2.7
bfi_12R     0.69 4.2
bfi_13      0.52 2.3
bfi_14      0.69 4.3
bfi_15      0.66 2.6
bfi_16      0.49 2.6
bfi_17      0.66 2.6
bfi_18R     0.61 4.4
bfi_19      0.55 2.5
bfi_20      0.45 1.7
bfi_21R     0.35 1.2
bfi_22      0.75 3.3
bfi_23R     0.53 3.9
bfi_24R     0.64 2.4
bfi_25      0.65 2.7
bfi_26      0.58 4.0
bfi_27R     0.62 3.6
bfi_28      0.58 3.6
bfi_29      0.56 3.9
bfi_30      0.71 1.2
bfi_31R     0.46 1.5
bfi_32      0.48 1.2
bfi_33      0.60 2.6
bfi_34R     0.56 3.2
bfi_35R     0.64 3.3
bfi_36      0.41 1.6
bfi_37R     0.62 2.3
bfi_38      0.71 2.2
bfi_39      0.44 3.4
bfi_40      0.61 1.9
bfi_41R     0.67 1.4
bfi_42      0.51 2.2
bfi_43R     0.51 2.8
bfi_44      0.80 1.9
ffmq_1      0.71 5.0
ffmq_2      0.66 3.3
ffmq_3R     0.59 3.1
ffmq_4R     0.62 3.3
ffmq_5      0.82 5.2
ffmq_6      0.78 2.6
ffmq_7R     0.67 3.2
ffmq_8R     0.89 4.2
ffmq_9R     0.53 4.9
ffmq_10     0.73 2.0
ffmq_11     0.82 2.6
ffmq_12     0.73 3.9
ffmq_13R    0.74 1.9
ffmq_14R    0.48 3.8
ffmq_15     0.76 2.3
uh.vmi_1    0.53 2.3
uh.vmi_2    0.39 1.6
uh.vmi_3    0.51 4.2
uh.vmi_4    0.48 2.8
uh.vmi_5    0.44 2.0
uh.vmi_6    0.40 2.1
uh.vmi_7    0.49 3.0
uh.vmi_8    0.60 4.3
uh.vmi_9    0.50 2.5
auth_1      0.63 5.2
auth_2      0.62 4.5
auth_3      0.75 2.3
auth_4      0.72 3.6
auth_5      0.51 2.7
auth_6      0.58 4.6
auth_7      0.69 3.9
auth_8      0.65 3.4
auth_9      0.66 4.2
auth_10     0.75 6.1
auth_11     0.65 6.0
auth_12     0.52 5.7
auth_13     0.66 4.8
auth_14     0.64 5.7
grt_1       0.61 2.8
grt_2       0.58 3.0
grt_3       0.69 2.2
grt_4       0.56 2.5
hum_1       0.60 3.5
grt_5       0.71 2.4
grt_6       0.51 2.2
grt_7       0.61 2.9
grt_8       0.53 3.3
hum_2       0.60 3.1
chalFreq    0.73 3.0
leadChal_1  0.44 2.6
leadChal_2  0.39 1.3
leadChal_3  0.52 2.1
leadChal_4  0.51 3.4
leadChal_5  0.55 2.1
leadChal_6  0.52 4.7
leadChal_7  0.53 3.3
leadChal_8  0.43 1.8
leadChal_9  0.56 4.8
leadChal_10 0.46 2.5
leadChal_11 0.45 2.0
leadChal_12 0.58 2.5
leadChal_13 0.36 1.7
sc.hw_1R    0.47 1.7
sc.hw_2R    0.44 1.5
sc.hw_3R    0.56 1.5
sc.hw_4     0.52 2.5
sc.hw_5R    0.57 2.1
sc.hw_6R    0.45 1.7
sc.hw_7R    0.48 1.2
sc.hw_8     0.56 3.6
sc.hw_9R    0.61 2.7
sc.hw_10R   0.56 1.9
dis_1R      0.55 5.4
dis_2R      0.66 3.9
dis_3       0.85 4.4
dis_4R      0.68 3.4
dis_5       0.69 2.8
dis_6       0.63 4.5
tfl_1       0.46 2.5
tfl_2       0.58 3.0
tfl_3       0.52 2.7
tfl_4       0.58 4.0
tfl_5       0.44 1.1
tfl_6       0.55 3.0
tfl_7       0.47 2.3
tfl_8       0.48 1.7
tfl_9       0.59 2.6
tfl_10      0.49 3.1
tfl_11      0.49 1.6
tfl_12      0.51 2.7
tfl_13R     0.43 2.1
tfl_14      0.56 3.1
tfl_15      0.65 2.2
tfl_16      0.52 1.8
tfl_17      0.45 1.2
tfl_18      0.54 2.5
brs_1       0.44 4.1
brs_2       0.48 4.7
brs_3       0.58 3.2
brs_4       0.56 5.8
brs_5       0.72 2.6
brs_6       0.46 5.2
narc_1      0.70 2.1
narc_2      0.76 2.5
narc_3      0.66 1.8
narc_4      0.83 2.6
narc_5      0.86 3.6
narc_6      0.68 1.9
narc_7      0.70 3.6
narc_8      0.69 1.9
narc_9      0.84 5.1
narc_10     0.73 5.0
narc_11     0.85 2.0
narc_12     0.89 5.8
narc_13     0.78 3.1
narc_14     0.77 3.6
sc.now_1R   0.58 2.9
sc.now_2R   0.62 2.1
sc.now_3R   0.51 2.2
sc.now_4    0.59 3.8
sc.now_5R   0.50 3.4
sc.now_6R   0.48 2.5
sc.now_7R   0.56 2.5
sc.now_8    0.71 3.9
sc.now_9R   0.65 2.9
sc.now_10R  0.56 3.9

                        RC4   RC2  RC10   RC1  RC7  RC6  RC3  RC8  RC9  RC5
SS loadings           14.03 13.34 11.19 10.67 9.24 8.84 8.09 6.71 6.68 5.30
Proportion Var         0.06  0.06  0.05  0.05 0.04 0.04 0.03 0.03 0.03 0.02
Cumulative Var         0.06  0.12  0.16  0.21 0.25 0.29 0.32 0.35 0.38 0.40
Proportion Explained   0.15  0.14  0.12  0.11 0.10 0.09 0.09 0.07 0.07 0.06
Cumulative Proportion  0.15  0.29  0.41  0.52 0.62 0.72 0.80 0.87 0.94 1.00

Mean item complexity =  3
Test of the hypothesis that 10 components are sufficient.

The root mean square of the residuals (RMSR) is  0.05 
 with the empirical chi square  28680.09  with prob <  2e-50 

Fit based upon off diagonal values = 0.9
