Principal Components Analysis
Call: principal(r = sp17_facs, nfactors = 10, rotate = "varimax")
Standardized loadings (pattern matrix) based upon correlation matrix
              RC1   RC2  RC10   RC3   RC4   RC7   RC5   RC9   RC8   RC6    h2
ffmq_12     0.72 4.0
ffmq_13R    0.75 1.4
ffmq_14R    0.67 4.0
ffmq_15     0.81 5.8
uh.vmi_1    0.46 5.4
uh.vmi_2    0.53 4.2
uh.vmi_3    0.58 4.8
uh.vmi_4    0.53 3.6
uh.vmi_5    0.45 3.7
uh.vmi_6    0.48 5.2
uh.vmi_7    0.50 3.3
uh.vmi_8    0.69 4.3
uh.vmi_9    0.58 3.2
auth_1      0.38 2.4
auth_2      0.37 2.8
auth_3      0.68 6.5
auth_4      0.55 2.7
auth_5      0.65 3.7
auth_6      0.46 2.9
auth_7      0.51 1.8
auth_8      0.59 1.9
auth_9      0.70 2.9
auth_10     0.54 1.5
auth_11     0.54 1.9
auth_12     0.42 2.0
auth_13     0.37 1.9
auth_14     0.64 2.0
grt_1       0.71 2.1
grt_2       0.81 4.1
grt_3       0.79 2.3
grt_4       0.57 4.8
hum_1       0.64 1.6
grt_5       0.58 2.1
grt_6       0.58 1.2
grt_7       0.57 2.7
grt_8       0.60 4.3
hum_2       0.56 1.9
chalFreq    0.66 5.8
leadChal_1  0.42 1.7
leadChal_2  0.38 1.6
leadChal_3  0.39 1.8
leadChal_4  0.45 1.7
leadChal_5  0.34 2.0
leadChal_6  0.46 1.4
leadChal_7  0.49 1.7
leadChal_8  0.50 1.6
leadChal_9  0.53 1.7
leadChal_10 0.45 3.4
leadChal_11 0.48 2.3
leadChal_12 0.46 1.6
leadChal_13 0.44 1.9
sc.hw_1R    0.54 2.2
sc.hw_2R    0.63 1.3
sc.hw_3R    0.66 2.5
sc.hw_4     0.63 4.5
sc.hw_5R    0.66 2.9
sc.hw_6R    0.55 4.0
sc.hw_7R    0.48 2.3
sc.hw_8     0.75 2.8
sc.hw_9R    0.58 3.1
sc.hw_10R   0.61 3.8
dis_1R      0.63 3.4
dis_2R      0.72 3.6
dis_3       0.90 5.1
dis_4R      0.61 4.2
dis_5       0.68 6.2
dis_6       0.76 2.2
tfl_1       0.36 3.5
tfl_2       0.44 1.6
tfl_3       0.54 2.3
tfl_4       0.64 5.3
tfl_5       0.40 2.3
tfl_6       0.38 2.1
tfl_7       0.46 2.5
tfl_8       0.36 2.9
tfl_9       0.55 3.3
tfl_10      0.58 4.5
tfl_11      0.52 2.8
tfl_12      0.36 3.3
tfl_13R     0.66 6.0
tfl_14      0.48 4.2
tfl_15      0.47 4.2
tfl_16      0.39 2.3
tfl_17      0.46 3.5
tfl_18      0.40 3.1
brs_1       0.65 3.2
brs_2       0.61 5.1
brs_3       0.69 3.8
brs_4       0.57 5.4
brs_5       0.73 5.0
brs_6       0.66 5.1
narc_1      0.75 4.8
narc_2      0.96 3.9
narc_3      0.71 1.7
narc_4      0.65 5.2
narc_5      0.89 5.2
narc_6      0.74 3.6
narc_7      0.83 5.5
narc_8      0.62 2.0
narc_9      0.94 4.5
narc_10     0.78 2.5
narc_11     0.91 5.9
narc_12     0.82 4.8
narc_13     0.83 5.2
narc_14     0.86 4.5
sc.now_1R   0.63 3.8
sc.now_4    0.57 3.8
sc.now_5R   0.42 2.3
sc.now_6R   0.57 1.5
sc.now_7R   0.54 2.6
sc.now_8    0.60 3.4
sc.now_9R   0.48 1.4
sc.now_10R  0.44 1.6

                        RC1   RC2  RC10  RC3  RC4  RC7  RC5  RC9  RC8  RC6
SS loadings           16.54 11.78 10.36 9.95 9.80 7.38 7.23 6.93 6.81 6.16
Proportion Var         0.07  0.05  0.05 0.04 0.04 0.03 0.03 0.03 0.03 0.03
Cumulative Var         0.07  0.13  0.17 0.22 0.26 0.29 0.33 0.36 0.39 0.41
Proportion Explained   0.18  0.13  0.11 0.11 0.11 0.08 0.08 0.07 0.07 0.07
Cumulative Proportion  0.18  0.30  0.42 0.52 0.63 0.71 0.79 0.86 0.93 1.00

Mean item complexity =  3
Test of the hypothesis that 10 components are sufficient.

The root mean square of the residuals (RMSR) is  0.06 
 with the empirical chi square  24568.47  with prob <  1.6e-16 

Fit based upon off diagonal values = 0.89
