Principal Components Analysis
Call: principal(r = sp17_facs, nfactors = 10, rotate = "varimax")
Standardized loadings (pattern matrix) based upon correlation matrix
              RC1   RC2  RC10   RC3   RC4   RC7   RC5   RC9   RC8   RC6    h2
bfi_4        0.05  0.02 -0.29  0.32 -0.12 -0.32  0.12 -0.48  0.08  0.00 0.554
bfi_5        0.24  0.15 -0.03 -0.12  0.17  0.15  0.52  0.23 -0.24 -0.12 0.547
bfi_6R      -0.01  0.18  0.05  0.00 -0.11  0.07  0.06 -0.61 -0.06  0.15 0.455
bfi_7        0.22  0.12  0.20  0.04  0.26  0.47  0.09 -0.07 -0.05  0.13 0.422
bfi_8R      -0.02  0.03 -0.04  0.64  0.03 -0.09  0.13  0.16 -0.11 -0.15 0.495
bfi_9R       0.21  0.35  0.05 -0.34  0.20  0.19  0.23  0.07 -0.18 -0.18 0.487
bfi_10       0.35  0.21  0.17 -0.02  0.21  0.06  0.33 -0.01 -0.12  0.03 0.369
bfi_11       0.23 -0.09  0.02 -0.09  0.34 -0.04  0.20  0.50 -0.10  0.17 0.514
bfi_12R      0.03  0.01 -0.22  0.17  0.04 -0.60  0.07  0.18 -0.02  0.04 0.480
bfi_13       0.47 -0.04  0.01 -0.29  0.18  0.14 -0.10  0.05 -0.19  0.16 0.434
bfi_14      -0.02 -0.20  0.00  0.06  0.22 -0.34  0.00 -0.24 -0.09  0.20 0.315
bfi_15       0.24  0.06 -0.01 -0.18  0.31 -0.05  0.35 -0.30 -0.09  0.03 0.414
bfi_16       0.23 -0.03 -0.01 -0.11  0.47 -0.03  0.15  0.50 -0.10  0.04 0.579
bfi_17       0.17  0.16  0.08  0.02  0.22  0.50  0.14 -0.04 -0.11  0.07 0.398
bfi_18R     -0.06  0.02  0.04  0.51 -0.04  0.01  0.22 -0.02 -0.12 -0.32 0.433
bfi_19      -0.26 -0.26 -0.06  0.26  0.11 -0.04  0.00 -0.33  0.13  0.27 0.424
bfi_20       0.24  0.13  0.06  0.11  0.11  0.14  0.44  0.02 -0.14  0.03 0.339
bfi_21R     -0.19  0.15  0.02  0.11 -0.16  0.07  0.16 -0.71 -0.01  0.01 0.630
bfi_22       0.13  0.06 -0.06 -0.08  0.00  0.40  0.06  0.17 -0.27  0.13 0.314
bfi_23R     -0.18 -0.09 -0.13  0.55 -0.03 -0.18  0.07 -0.08  0.08 -0.14 0.426
bfi_24R      0.18  0.33  0.10 -0.24  0.10  0.29  0.08  0.24 -0.33 -0.07 0.475
bfi_25       0.23  0.13  0.02  0.01  0.22  0.05  0.63  0.13 -0.21 -0.08 0.590
bfi_26       0.32  0.14  0.15 -0.08  0.17 -0.35  0.01  0.28  0.00  0.27 0.452
bfi_27R      0.11  0.00  0.03  0.16 -0.10 -0.33 -0.05 -0.37  0.03  0.07 0.304
bfi_28       0.29  0.09  0.05 -0.30  0.19 -0.05 -0.04 -0.13 -0.03  0.35 0.361
bfi_29      -0.04 -0.20 -0.10  0.46 -0.02 -0.42  0.05 -0.16 -0.05  0.28 0.558
bfi_30      -0.05  0.07 -0.08  0.09  0.15  0.16  0.55  0.00 -0.08  0.12 0.399
bfi_31R     -0.29 -0.10 -0.11  0.16 -0.02  0.14  0.10 -0.55 -0.05  0.04 0.469
bfi_32       0.08  0.03  0.18  0.02  0.23  0.53  0.21 -0.09  0.03  0.13 0.449
bfi_33       0.26  0.05 -0.02 -0.45  0.17  0.15  0.08  0.10 -0.09  0.37 0.493
bfi_34R      0.28  0.43  0.13 -0.18  0.25  0.04  0.12  0.07 -0.16 -0.09 0.433
bfi_35R      0.01  0.12  0.04 -0.01  0.14  0.05 -0.08 -0.01 -0.01  0.56 0.351
bfi_36       0.08 -0.02  0.01 -0.01  0.23 -0.08  0.18  0.68  0.05  0.21 0.606
bfi_37R      0.02 -0.07 -0.20  0.19 -0.01 -0.65  0.07 -0.04 -0.03 -0.01 0.511
bfi_38       0.19  0.12 -0.02 -0.36  0.13  0.04 -0.05 -0.01  0.14  0.42 0.397
bfi_39      -0.16 -0.25  0.01  0.31  0.12  0.05 -0.10 -0.29  0.08  0.34 0.416
bfi_40       0.20  0.12  0.12  0.01  0.21  0.05  0.42 -0.24 -0.06  0.07 0.358
bfi_41R      0.02  0.16  0.00  0.11 -0.02 -0.17 -0.36  0.04  0.11  0.15 0.228
bfi_42       0.15  0.22  0.23  0.01  0.30  0.27  0.13  0.31 -0.10  0.18 0.437
bfi_43R      0.01 -0.10 -0.12  0.69  0.06 -0.10 -0.02  0.00 -0.01 -0.13 0.531
bfi_44      -0.01 -0.02 -0.17  0.04  0.10 -0.01  0.52 -0.19 -0.06  0.06 0.352
ffmq_1      -0.11  0.03  0.19  0.08 -0.07  0.04  0.39  0.02  0.08  0.13 0.240
ffmq_2      -0.06  0.16  0.38 -0.09  0.10 -0.19  0.26  0.10  0.35  0.01 0.434
ffmq_3R     -0.10  0.01 -0.09  0.61  0.03  0.09  0.02 -0.02  0.04 -0.08 0.404
ffmq_4R     -0.05  0.03 -0.02  0.29 -0.14  0.16  0.05 -0.18  0.37  0.15 0.327
ffmq_5       0.06  0.24  0.38 -0.29  0.01 -0.04  0.29 -0.03  0.03  0.00 0.380
ffmq_6       0.19  0.13  0.19 -0.09 -0.03 -0.16  0.36  0.00  0.22  0.09 0.309
ffmq_7R     -0.07 -0.08 -0.24  0.21 -0.07  0.25 -0.16 -0.09 -0.28  0.06 0.294
ffmq_8R      0.08 -0.04 -0.08  0.24 -0.11  0.14 -0.08  0.09  0.06  0.16 0.149
ffmq_9R      0.01  0.03 -0.05  0.33 -0.11 -0.13 -0.02 -0.25  0.35  0.10 0.336
ffmq_10      0.17  0.28  0.16 -0.03  0.07  0.04  0.05  0.00  0.00 -0.07 0.149
ffmq_11      0.21  0.04  0.18  0.12  0.10 -0.14  0.39  0.08  0.04  0.04 0.283
ffmq_12     -0.06  0.15  0.34 -0.04  0.06 -0.19  0.26  0.04  0.16  0.09 0.284
ffmq_13R    -0.05 -0.02 -0.12  0.45  0.06 -0.10 -0.07  0.03  0.06  0.02 0.246
ffmq_14R    -0.07 -0.08 -0.08  0.24 -0.07 -0.07  0.00 -0.28  0.35  0.20 0.329
ffmq_15     -0.07  0.23  0.18  0.00  0.16 -0.08  0.20  0.09  0.10 -0.12 0.192
uh.vmi_1     0.32  0.41  0.23  0.02 -0.10 -0.23 -0.12 -0.01 -0.26  0.26 0.539
uh.vmi_2     0.18  0.24  0.44  0.03 -0.14 -0.11 -0.23 -0.02 -0.29  0.14 0.468
uh.vmi_3     0.24  0.30  0.29 -0.01 -0.06 -0.08 -0.01  0.35 -0.24  0.00 0.421
uh.vmi_4     0.40  0.42  0.15 -0.03 -0.08 -0.25 -0.02  0.01 -0.07 -0.18 0.470
uh.vmi_5     0.21  0.46  0.41  0.02 -0.04 -0.06 -0.19 -0.03 -0.20  0.20 0.545
uh.vmi_6     0.33  0.23  0.40 -0.08 -0.19 -0.05 -0.23  0.00 -0.29  0.12 0.519
uh.vmi_7     0.35  0.49  0.19  0.04 -0.14 -0.19 -0.10  0.05 -0.07 -0.18 0.504
