             [,1]        [,2]        [,3]       [,4]        [,5]         [,6]
[1,]  1.000000000  0.10959294 -0.13758485 -0.6628703  0.16665188  0.006754963
[2,]  0.109592944  1.00000000 -0.01258941 -0.4431035 -0.08792487  0.141429632
[3,] -0.137584848 -0.01258941  1.00000000 -0.3385635 -0.01723912  0.058865730
[4,] -0.662870342 -0.44310354 -0.33856353  1.0000000 -0.35572088 -0.723248038
[5,]  0.166651876 -0.08792487 -0.01723912 -0.3557209  1.00000000  0.118784995
[6,]  0.006754963  0.14142963  0.05886573 -0.7232480  0.11878499  1.000000000
[7,]  0.001295114  0.10238785  0.25051186 -0.4834620  0.20765811  0.186536443
             [,7]
[1,]  0.001295114
[2,]  0.102387847
[3,]  0.250511861
[4,] -0.483461961
[5,]  0.207658107
[6,]  0.186536443
[7,]  1.000000000
