             [,1]         [,2]        [,3]        [,4]         [,5]        [,6]
 [1,]  1.00000000  0.934432363 -0.09552953 -0.27471000  0.489121343  0.28428095
 [2,]  0.08980638  1.000000000  0.08280648  0.31108166 -0.044161683  0.20828484
 [3,] -0.32391280 -0.097914940  1.00000000  0.83788720 -0.046332786  0.41386743
 [4,] -0.34753410  0.001233092  0.54641773  1.00000000  0.932013696  0.18122700
 [5,]  0.25492041 -0.167534037 -0.23901918  0.23866265  1.000000000 -0.17643760
 [6,] -0.02017589  0.152277410  0.03526873 -0.04239470 -0.346460143  1.00000000
 [7,] -0.26988957  0.553490878  0.21179333 -0.18814554 -0.265533914  0.13334909
 [8,]  0.17709620  0.292592079  0.21966741  0.15813264 -0.041324122  0.03561825
 [9,]  0.39221242  0.016171258 -0.39462336 -0.41575806 -0.158437575 -0.26748358
[10,]  0.12411241 -0.363938526 -0.29031388 -0.32609755 -0.008992268  0.26041989
[11,]  0.32526281 -0.167520589 -0.31940227 -0.05591883  0.428815633 -0.18869861
[12,]  0.11777221 -0.144919349  0.23729434 -0.14935272  0.124994717 -0.30249044
[13,] -0.31627580 -0.027526457  0.21309672  0.18676826 -0.171702260  0.03588749
[14,] -0.09853575 -0.043450917  0.08318529 -0.27500319  0.046196571 -0.07621961
             [,7]         [,8]        [,9]       [,10]       [,11]       [,12]
 [1,]  0.11223737  0.422512742  0.40392542  0.39949108  0.47232182  0.47975104
 [2,]  0.78300336  0.509706277  0.27686180 -0.18482624  0.03397484 -0.11148724
 [3,]  0.63826401  0.226176034 -0.38144579 -0.21350634 -0.24949281  0.34559856
 [4,] -0.15124662  0.161059901 -0.34865317 -0.18800439  0.36268881 -0.11330112
 [5,] -0.24450815  0.278407809  0.02449784  0.21727720  0.54649216  0.55526400
 [6,]  0.46082741  0.041635109  0.10015967  0.50436423 -0.11410948 -0.17517428
 [7,]  1.00000000  0.679739149  0.04670283 -0.25286303 -0.19033722  0.27843236
 [8,]  0.32833688  1.000000000  0.54107410  0.21911665  0.41296799  0.31985116
 [9,] -0.15402287  0.222966564  1.00000000  0.37492350  0.36136095  0.14415272
[10,] -0.32870956  0.008362684 -0.04324840  1.00000000  0.20574071  0.10809500
[11,] -0.19416149  0.289822625  0.02488567  0.17940313  1.00000000  0.34157249
[12,]  0.03927535  0.194064604  0.05993720  0.06724266  0.16196284  1.00000000
[13,]  0.23626283 -0.021788925 -0.33413784 -0.12778532 -0.20336531 -0.09477373
[14,]  0.37123125  0.044285336  0.06822896 -0.15815303 -0.13394318  0.08405268
            [,13]        [,14]
 [1,] -0.26819861  0.159806352
 [2,]  0.04482408  0.178827047
 [3,]  0.39948999  0.505079685
 [4,]  0.20553300 -0.027775943
 [5,]  0.11870398  0.279454003
 [6,]  0.36754420  0.002312292
 [7,]  0.31727226  0.449992150
 [8,]  0.28587948  0.119741461
 [9,] -0.31802086  0.238362255
[10,] -0.09647409 -0.049840769
[11,]  0.05950479  0.210620522
[12,]  0.30620103  0.277285757
[13,]  1.00000000  0.271940144
[14,] -0.04945600  1.000000000
