            [,1]        [,2]        [,3]       [,4]        [,5]        [,6]
[1,]  1.00000000  0.20921881  0.02588366 -0.5757554  0.11091209  0.13878250
[2,]  0.20921881  1.00000000 -0.02421014 -0.5786527 -0.08447159  0.30554973
[3,]  0.02588366 -0.02421014  1.00000000 -0.4152820  0.15076872  0.12186777
[4,] -0.57575544 -0.57865267 -0.41528197  1.0000000 -0.27430533 -0.70718176
[5,]  0.11091209 -0.08447159  0.15076872 -0.2743053  1.00000000  0.08657532
[6,]  0.13878250  0.30554973  0.12186777 -0.7071818  0.08657532  1.00000000
[7,] -0.04017466  0.27056729  0.36545501 -0.5048699  0.21054366  0.18279436
            [,7]
[1,] -0.04017466
[2,]  0.27056729
[3,]  0.36545501
[4,] -0.50486992
[5,]  0.21054366
[6,]  0.18279436
[7,]  1.00000000
