             [,1]         [,2]         [,3]         [,4]         [,5]
[1,] 0.000000e+00 0.0053207330 8.266794e-01 2.282825e-07 3.168032e-04
[2,] 5.320733e-03 0.0000000000 1.177230e-01 4.548884e-03 4.022079e-01
[3,] 8.266794e-01 0.1177230499 0.000000e+00 5.633007e-02 1.317522e-01
[4,] 2.282825e-07 0.0045488841 5.633007e-02 0.000000e+00 4.912869e-02
[5,] 3.168032e-04 0.4022079294 1.317522e-01 4.912869e-02 0.000000e+00
[6,] 9.306831e-02 0.0009692682 1.776536e-02 6.341481e-09 2.742000e-03
[7,] 7.482732e-02 0.0054722199 9.744656e-06 1.477537e-03 9.913364e-05
             [,6]         [,7]
[1,] 9.306831e-02 7.482732e-02
[2,] 9.692682e-04 5.472220e-03
[3,] 1.776536e-02 9.744656e-06
[4,] 6.341481e-09 1.477537e-03
[5,] 2.742000e-03 9.913364e-05
[6,] 0.000000e+00 3.001562e-04
[7,] 3.001562e-04 0.000000e+00
