"uh","ili","ffmq","grt","auth","tfl","dis","leadChal","sc.hw","uh.vmi"
4.56,5.86666666666667,1.5,3,5.57142857142857,5,3,6,4,5
5.12,6.86666666666667,3,4,5.85714285714286,5.86666666666667,3.6,6.07692307692308,4,3.77777777777778
4.48,6.33333333333333,2.91666666666667,4,5.64285714285714,5.8,2.4,5.15384615384615,4,5.77777777777778
5.2,5.2,2.33333333333333,3.25,6.21428571428571,5.8,1.8,5.69230769230769,4,6.55555555555556
3.12,5.66666666666667,3,3.875,5.07142857142857,5.6,3.4,5.53846153846154,4,6.33333333333333
4.68,6.53333333333333,2.33333333333333,3.5,5.92857142857143,6.13333333333333,3.2,5.61538461538461,4,6.44444444444444
4.84,6.13333333333333,1.58333333333333,2.25,5.71428571428571,5.4,2.2,5.15384615384615,4,5
4.68,5.73333333333333,1.83333333333333,3.875,5,5.2,3.8,6.46153846153846,4,6.55555555555556
5.6,6,2.75,4.125,5.78571428571429,5.8,2.6,5.84615384615385,4,5.55555555555556
5.68,6.26666666666667,2.16666666666667,3.375,5.57142857142857,5.06666666666667,4.6,4.84615384615385,4,4.55555555555556
5.48,5.86666666666667,2.5,3.625,5.07142857142857,2.93333333333333,2.6,5.53846153846154,4,7.11111111111111
5.16,5.53333333333333,2.58333333333333,3.375,5.64285714285714,5.06666666666667,4.6,5.76923076923077,4,6
4.12,5.66666666666667,2.08333333333333,3.75,5.14285714285714,5.26666666666667,3.8,5.76923076923077,4,3.55555555555556
6.56,5.53333333333333,2.83333333333333,3.625,6.07142857142857,3.86666666666667,5,5.46153846153846,4,7.66666666666667
4.52,6.26666666666667,2.5,3.75,6.42857142857143,6,2.6,5.46153846153846,4,5.88888888888889
5.84,5.8,2,3.875,5.71428571428571,5.66666666666667,2,5.30769230769231,4,6.11111111111111
7.6,6.46666666666667,3,4.5,6.71428571428571,5.93333333333333,1.8,6.92307692307692,4,8
4.08,6.6,2.33333333333333,4.25,5.42857142857143,5.8,2.2,5.69230769230769,4,5
6.64,6.46666666666667,2.08333333333333,3.5,4.14285714285714,5.66666666666667,1.8,6.07692307692308,4,0
7.68,4.2,2.41666666666667,2.5,4.64285714285714,4.46666666666667,3.2,4,4,7.22222222222222
7.76,6.4,3.5,4.25,6.78571428571429,6.33333333333333,2,6.76923076923077,4,8
7.6,6.53333333333333,3.16666666666667,3.875,6.5,6.73333333333333,2.4,5.92307692307692,4,7.88888888888889
5.72,7,2.58333333333333,4.375,6.14285714285714,6.66666666666667,1.8,6.92307692307692,4,6.33333333333333
5.72,4.46666666666667,2.66666666666667,2.625,5,6.4,4.2,5.76923076923077,4,6.77777777777778
6.04,6.26666666666667,2.58333333333333,4.375,5.42857142857143,5.46666666666667,2.2,5.61538461538461,4,6.66666666666667
6.68,6.6,2.5,4.125,5.71428571428571,5.86666666666667,3,6.30769230769231,4,6.22222222222222
6.36,5.26666666666667,3.5,4.25,5.92857142857143,5.13333333333333,1.2,4.84615384615385,4,7.44444444444444
5.16,5.8,2.58333333333333,3.875,5.64285714285714,4.66666666666667,2.4,4.84615384615385,4,7.22222222222222
5.48,5.33333333333333,2.16666666666667,2.875,5.92857142857143,5.8,4.8,6.38461538461539,4,6.88888888888889
6.4,6.66666666666667,2.75,3.875,5.07142857142857,5.4,4,4.92307692307692,4,6.77777777777778
4.28,4,2,3,4.64285714285714,4,5,6.53846153846154,4,4
5,6.53333333333333,2,3.875,6.64285714285714,6.53333333333333,2.8,6.69230769230769,4,6.44444444444444
6.56,5.6,1.58333333333333,4,5.21428571428571,4.2,3.2,4.38461538461539,4,6.33333333333333
4.8,5.8,1.91666666666667,3.25,5.71428571428571,4.53333333333333,4.4,5.30769230769231,4,7.11111111111111
5.08,6.26666666666667,2.41666666666667,3.875,5.57142857142857,5.86666666666667,5.2,6.15384615384615,4,6.22222222222222
4.52,5.4,1.75,3.5,5.57142857142857,5.86666666666667,4,5.92307692307692,4,5.22222222222222
3.92,5.46666666666667,3.08333333333333,3.5,5.85714285714286,5.13333333333333,3.8,5.46153846153846,4,5.66666666666667
4.68,5.93333333333333,2.25,2.5,5.92857142857143,5.93333333333333,4.8,5.61538461538461,4,4.77777777777778
4.64,5.93333333333333,2.33333333333333,4.25,5.42857142857143,5.46666666666667,1.8,5.15384615384615,4,5.44444444444444
3.68,5.53333333333333,1.5,2.75,4.85714285714286,5.06666666666667,5.4,4.69230769230769,4,3.33333333333333
4.48,5.93333333333333,1.75,2.5,5.14285714285714,6.26666666666667,4.2,6,4,6.66666666666667
6.84,6.73333333333333,1.83333333333333,3.375,5.42857142857143,6.33333333333333,2.8,6.76923076923077,4,6
