"uh","ili","ffmq","grt","auth","tfl","dis","leadChal","sc.hw","uh.vmi"
5.95,5.8,2.16666666666667,3.125,5.64285714285714,4.93333333333333,3.2,4.61538461538461,4,6.33333333333333
5.45,5.8,2.75,4,5.5,5.33333333333333,3.2,5.76923076923077,4,7.11111111111111
3.05,5.8,2.25,3.625,5.57142857142857,5.66666666666667,2.8,5.69230769230769,4,6.44444444444444
5.85,6.13333333333333,2.75,3.875,5.78571428571429,5.66666666666667,2.8,5.69230769230769,4,7.33333333333333
3.3,6.13333333333333,2.41666666666667,3.875,5.64285714285714,5.46666666666667,4.6,5.76923076923077,4,5
4.35,4,2,2.875,4.57142857142857,4.6,4,5.23076923076923,4,7.22222222222222
2.8,5.8,2,3.25,6.14285714285714,5.26666666666667,6,4.23076923076923,4,0.555555555555556
3.7,6.53333333333333,2.25,3.75,5.35714285714286,5.26666666666667,2.6,5.15384615384615,4,5.44444444444444
4.05,6.8,2.33333333333333,3.75,6.42857142857143,6.4,1.4,6.69230769230769,4,7
5.8,6.6,2.41666666666667,3,6.85714285714286,6.33333333333333,1.8,6.07692307692308,4,7.44444444444444
3.85,5.73333333333333,2.25,3.75,5.64285714285714,5.33333333333333,3.4,4.61538461538461,4,6.55555555555556
3.85,5.26666666666667,2.75,3.75,6,5.6,3.4,7,4,6.88888888888889
3.85,4.06666666666667,2.83333333333333,4,5.14285714285714,5.33333333333333,2.4,5.07692307692308,4,5.44444444444444
6.75,6.33333333333333,2.75,3.25,6.42857142857143,6.26666666666667,3.8,6.69230769230769,4,7.88888888888889
5.1,4.33333333333333,1.75,2.5,4.35714285714286,5.4,3.2,4.38461538461539,4,6.44444444444444
4.2,6.2,1.58333333333333,3.375,5.92857142857143,4.86666666666667,4.4,6,4,3.44444444444444
6.2,6.6,3.16666666666667,3.75,5.78571428571429,5.13333333333333,4.4,5.76923076923077,4,6.66666666666667
5.95,5.8,2.25,3.125,5.57142857142857,4.73333333333333,3.4,4.23076923076923,4,6.55555555555556
6.95,5.86666666666667,2.58333333333333,4.125,5.71428571428571,6.2,3.4,6.15384615384615,4,6.11111111111111
6.15,4.46666666666667,1.75,3,4.92857142857143,4.93333333333333,4,4.38461538461539,4,7.44444444444444
3.95,7,2.5,4.25,6.35714285714286,6.8,5.6,6.15384615384615,4,5.33333333333333
6,6.6,2,3.25,5.5,5,2.6,5.07692307692308,4,5.22222222222222
4.7,6.93333333333333,2.66666666666667,4,6.42857142857143,7,3.8,6.23076923076923,4,7.22222222222222
6.15,6.13333333333333,1.91666666666667,3.625,5.85714285714286,5.33333333333333,2.8,5.84615384615385,4,7
3.9,5.66666666666667,1.83333333333333,2.75,4.85714285714286,5.06666666666667,5,4.61538461538461,4,5.88888888888889
4.65,5.26666666666667,1.91666666666667,3.75,5.71428571428571,5.73333333333333,4.4,5.23076923076923,4,6.88888888888889
5.55,6.73333333333333,1.91666666666667,3.125,6.21428571428571,5.93333333333333,4.2,6.15384615384615,4,6.22222222222222
5.35,6,2.5,3.375,6.42857142857143,6.2,1.6,6.38461538461539,4,6.11111111111111
5.2,5.33333333333333,1.58333333333333,3.5,4.78571428571429,5.2,3.6,3.84615384615385,4,3.44444444444444
5.05,6,2.08333333333333,3.375,5,4.46666666666667,3,4,4,6
3.75,6.46666666666667,2.58333333333333,3.625,5.07142857142857,5.86666666666667,1.6,5.38461538461539,4,6.77777777777778
3.95,7,1.91666666666667,3,4.92857142857143,6.2,3.8,5.69230769230769,4,7.88888888888889
5.2,6.2,2.75,4.375,5.92857142857143,5.86666666666667,2.8,6.07692307692308,4,6.22222222222222
4.3,6.86666666666667,3,3.875,6.14285714285714,5.8,4,6.07692307692308,4,7.11111111111111
3.7,5.93333333333333,1.83333333333333,4.625,5.92857142857143,5.93333333333333,5.8,5.92307692307692,4,5.33333333333333
4.5,5.46666666666667,3.16666666666667,3.625,6.07142857142857,5.26666666666667,2,6.38461538461539,4,6.33333333333333
4.55,5.53333333333333,1.83333333333333,2.625,5.14285714285714,4.86666666666667,4,4.69230769230769,4,5.44444444444444
4.3,4.26666666666667,1.83333333333333,2.375,4.21428571428571,4.06666666666667,5,1.69230769230769,4,5
5.75,5.66666666666667,1.66666666666667,3.125,4.07142857142857,4.86666666666667,5.2,5.46153846153846,4,5.77777777777778
