"uh","ili","ffmq","grt","auth","tfl","dis","leadChal","sc.hw","uh.vmi","mt","lnr","har"
4.2,5.73333333333333,2.08333333333333,3,6.07142857142857,5.93333333333333,3.4,5.46153846153846,4.5,3.88888888888889,4.375,2.75,2.86666666666667
3.52,5.4,1.75,3.625,5.5,5.86666666666667,5.2,5.69230769230769,4,3.66666666666667,4.125,1.5,2.66666666666667
2.32,6.6,2.16666666666667,3.75,6.57142857142857,6.4,6.4,5.61538461538461,3.5,2.11111111111111,4.125,1.875,2.6
2.64,5,1.91666666666667,2.5,5.35714285714286,5.26666666666667,4,4.30769230769231,4.125,3.11111111111111,3.875,2,2.46666666666667
2.96,5.53333333333333,1.75,3.25,5.64285714285714,5.4,4.4,5.30769230769231,5.625,3,4,3.5,3.33333333333333
4.72,6.06666666666667,2.91666666666667,4.125,6.28571428571429,6.06666666666667,2.6,6.53846153846154,6.125,5,4.625,3.375,3.53333333333333
3.92,5.73333333333333,2.58333333333333,4,5.57142857142857,5.73333333333333,4,6.07692307692308,5.625,3.55555555555556,4.25,3.375,3.13333333333333
3.24,6.26666666666667,2.25,2.875,6.14285714285714,6.26666666666667,4.8,5.61538461538461,4.5,2.55555555555556,4.75,2.5,2.93333333333333
3,4,1.83333333333333,3,4,4,4.6,4,5,2.77777777777778,3,3.5,2.73333333333333
3.36,5.53333333333333,2.41666666666667,3.625,5.57142857142857,5.4,4.8,5,5.375,3.44444444444444,4,2.75,2.73333333333333
4,6.2,2.75,3.75,5.57142857142857,5.8,3.4,5.84615384615385,5.625,4.11111111111111,4.125,2.5,2.73333333333333
3.2,5.33333333333333,2.33333333333333,3.25,5.21428571428571,4.6,4,5.23076923076923,4.125,3.22222222222222,3.25,2.5,2.4
2.24,5.53333333333333,2,3.875,5.57142857142857,5.46666666666667,5.4,5.84615384615385,4.875,3.33333333333333,4.375,2,2.46666666666667
3.16,5.66666666666667,2,4,5.78571428571429,5.73333333333333,4,5.15384615384615,4.875,3.55555555555556,3.875,2.5,2.86666666666667
3,5.13333333333333,2.25,3.875,5.57142857142857,5.53333333333333,2.6,6,5.125,4.22222222222222,3.5,2.875,2.93333333333333
4.48,5.8,2.66666666666667,3.5,5.92857142857143,5.8,4.6,5.53846153846154,5.5,4.44444444444444,4.25,3,3.4
3.6,4.8,2.16666666666667,3.75,5.21428571428571,5.06666666666667,3.2,4.84615384615385,5.5,4,3.625,3.125,2.93333333333333
4.24,5.66666666666667,2.58333333333333,4.125,5.78571428571429,5.66666666666667,2.6,5.92307692307692,6.625,4.33333333333333,4.125,3,3.13333333333333
4,5.8,2.41666666666667,3.375,5.5,5.6,3.6,6,5.125,4.33333333333333,3.25,3.375,3.13333333333333
3.6,5.33333333333333,1.83333333333333,3.25,5.28571428571429,5.53333333333333,4.4,5.46153846153846,5.625,4,3.625,3,2.93333333333333
3,5.73333333333333,1.83333333333333,3,5.78571428571429,5.6,4.6,5.46153846153846,5,3,3,3,2.4
3.68,5.93333333333333,2.25,3.875,5.71428571428571,5.8,3.8,5.92307692307692,6.625,4.11111111111111,4.5,3.25,3.06666666666667
3.56,4.6,2.83333333333333,3.25,4.42857142857143,5.06666666666667,3.8,4.23076923076923,6,3.77777777777778,3.375,2.125,2.6
3.48,6.13333333333333,2.33333333333333,3.75,5.71428571428571,6.2,3.6,6.15384615384615,5.625,4.11111111111111,4.25,3,3
3.44,5.2,2.25,3,5.57142857142857,5.53333333333333,3.4,5.61538461538461,5.25,3.88888888888889,4.125,3.5,3.4
3.36,6,3,4,5.35714285714286,5.53333333333333,4,5.61538461538461,5.75,2.55555555555556,4.25,3,3.2
3.36,4.93333333333333,2.33333333333333,3.75,5.35714285714286,4.66666666666667,3.8,5.61538461538461,5.75,3.66666666666667,3.625,3.25,3.06666666666667
1.72,4.46666666666667,1,3.75,6.07142857142857,4.33333333333333,2.8,5.15384615384615,4.125,2.55555555555556,3.25,1.875,2.53333333333333
2.84,6.6,3,4.25,6.35714285714286,5.8,3.4,6.76923076923077,6,4,4.5,2.75,3.2
1.92,5.2,1.41666666666667,3.25,5.71428571428571,5.06666666666667,4.8,5.69230769230769,4.75,2.66666666666667,2.125,1.625,1.93333333333333
2.56,5.33333333333333,2.08333333333333,3.5,5.78571428571429,5.06666666666667,4.2,5.76923076923077,5.375,3.88888888888889,4,2.625,2.66666666666667
3.24,4.8,2.58333333333333,4.125,5.28571428571429,5.06666666666667,4.4,5.38461538461539,5.625,3.44444444444444,4.75,3.375,3.33333333333333
3.4,6.13333333333333,1.83333333333333,3.25,6,5.86666666666667,4.2,6,5,3.55555555555556,4.25,2,2.66666666666667
3.04,5.66666666666667,2.33333333333333,3.75,5.35714285714286,5.33333333333333,3.4,5.07692307692308,5.75,3.33333333333333,4.375,2.875,2.93333333333333
3.92,6,2.5,3.75,5.78571428571429,5.4,3.6,6.15384615384615,5.875,3.88888888888889,4.25,3.25,3.2
4.08,6,2.91666666666667,4,5.5,5.66666666666667,2.8,5.15384615384615,6.125,5,4.625,3.375,3.2
4.72,6.93333333333333,2.25,3.75,6.92857142857143,6.46666666666667,2.6,6.69230769230769,4.625,5,5,1.375,3
3.32,5.13333333333333,2.16666666666667,3.375,5.57142857142857,5.33333333333333,3.6,5.07692307692308,5,3.55555555555556,4,3.25,2.93333333333333
2.72,6.13333333333333,2.5,3.875,5.64285714285714,5.26666666666667,3.2,5.07692307692308,5.75,2.88888888888889,4.125,3.375,3.26666666666667
3.52,5.53333333333333,2.33333333333333,3.75,5.57142857142857,5.6,3.4,5.84615384615385,5.125,3.11111111111111,4.25,3.125,2.86666666666667
4.68,6.6,2.41666666666667,4.5,6.28571428571429,6,2.8,6.61538461538461,6.5,4.33333333333333,4.875,3.125,3.13333333333333
3.68,4.06666666666667,2.5,3.125,4.85714285714286,4.8,3,5.61538461538461,5.25,2.77777777777778,3.375,2.625,2.46666666666667
2.84,5,1.75,4.375,4.85714285714286,5.53333333333333,3.8,3.76923076923077,5.625,3.55555555555556,4.375,3.25,3.2
2.84,5.46666666666667,2.66666666666667,4,5.21428571428571,6.06666666666667,3.2,5.46153846153846,6.375,3.33333333333333,4.125,2.875,3.06666666666667
3.64,4.26666666666667,1.33333333333333,2.75,4.85714285714286,4.4,4.2,3.69230769230769,4.375,3.77777777777778,2.875,3,2.73333333333333
2.28,6.06666666666667,1.75,3.125,5.57142857142857,5.2,4.6,5.61538461538461,4.5,2.22222222222222,2.625,1.75,2.2
2.96,6,2,3.25,6,5.73333333333333,4.6,6,4.625,3.22222222222222,3.125,2.75,2.53333333333333
4,6.53333333333333,2.41666666666667,3.875,6.35714285714286,6.13333333333333,4,5.69230769230769,5.875,3.33333333333333,4.25,3,3.13333333333333
2.32,5.93333333333333,1.83333333333333,3.5,4.85714285714286,5.2,4,5,4.625,2.44444444444444,3.875,3,3
3.44,6.33333333333333,3.08333333333333,3.625,6.14285714285714,6.33333333333333,3,6.07692307692308,5.625,4.66666666666667,3.5,3.5,2.86666666666667
3.48,6.2,2.58333333333333,3.875,5.71428571428571,4.86666666666667,3.4,5.92307692307692,6,4.22222222222222,4.5,3.125,3.33333333333333
3.16,5.46666666666667,2.08333333333333,4.25,5.57142857142857,5.4,4.6,4.69230769230769,4.875,4,4.125,2.875,3.13333333333333
3.48,5.13333333333333,2.25,3.875,5.07142857142857,4.86666666666667,3.2,5.92307692307692,4.75,3.77777777777778,3.75,3.125,3
3.28,6.93333333333333,2.41666666666667,4,6.21428571428571,6.4,4.6,6.61538461538461,6.25,3.77777777777778,4.875,2.875,3.4
3.64,5.66666666666667,2.66666666666667,3.625,5.64285714285714,5.6,4,5.53846153846154,4.75,4.55555555555556,3.875,3.25,2.93333333333333
4.2,5.6,2.33333333333333,3.375,6,4.86666666666667,3.6,6.76923076923077,5.375,3.66666666666667,4.75,3.25,3.33333333333333
4,6.13333333333333,2,3.625,6.21428571428571,6,4.6,6.15384615384615,4.375,3.33333333333333,4.125,2.75,3
3.04,3.33333333333333,2.5,3.125,5.07142857142857,4,3.4,2.92307692307692,4.875,4,3.5,2.875,3.06666666666667
3.64,5.86666666666667,2.75,3.75,5.57142857142857,5,3.2,5.38461538461539,6.75,4.11111111111111,4.5,2.875,3.2
3.76,4.46666666666667,2.83333333333333,3.875,4.85714285714286,5.2,2.6,5.84615384615385,6.375,4.22222222222222,3.875,3.5,2.93333333333333
3.72,5,1.83333333333333,2.75,4.42857142857143,5,4.2,5.23076923076923,4.5,3.77777777777778,3.375,3,2.93333333333333
3.96,5.73333333333333,2.16666666666667,4,5.14285714285714,5.2,4,4.84615384615385,5.125,3.88888888888889,4,1.625,2
4.16,5.6,3.08333333333333,3.875,5.5,6.06666666666667,4.4,5.38461538461539,6.25,4.55555555555556,4,2.375,2.4
2.96,4.86666666666667,2.75,2.125,5.35714285714286,4.86666666666667,4.8,5.07692307692308,4.875,3.11111111111111,4,2.875,2.73333333333333
3.24,5.53333333333333,1.83333333333333,3.375,5.42857142857143,5.33333333333333,4.6,4.92307692307692,5.75,3.11111111111111,3.375,2.875,2.93333333333333
4.28,5.93333333333333,2.33333333333333,4.375,5.28571428571429,5.8,2.6,5.46153846153846,5.875,4.55555555555556,4.5,3.125,3.26666666666667
3.72,5.4,2.33333333333333,4,4.85714285714286,4.46666666666667,3.8,5,5.5,3.88888888888889,4.375,3.125,3.33333333333333
2.96,5.2,2.5,4.5,5,5.13333333333333,4,5.46153846153846,5.5,4,4.125,2.875,3.13333333333333
4.48,5.4,1.91666666666667,2.5,5,5.33333333333333,3.4,5.07692307692308,4.125,4.88888888888889,3.875,2.75,2.33333333333333
3,5.6,1.66666666666667,3.625,5.85714285714286,5.93333333333333,3.4,5.69230769230769,4.875,3.77777777777778,3.25,2.25,2.66666666666667
3.04,5.66666666666667,2.25,3.625,5.71428571428571,5.4,4.2,5.53846153846154,5.625,3.66666666666667,3.75,2.875,2.8
4.04,5.93333333333333,1.91666666666667,4,5.5,4.93333333333333,3.6,5,5.5,4.11111111111111,3.75,1.625,2.46666666666667
3.56,5.46666666666667,2.5,2.875,5.85714285714286,4.46666666666667,4.2,4.46153846153846,5.125,3.66666666666667,3.25,2.625,2.53333333333333
2.04,5.13333333333333,2.08333333333333,2.75,5.64285714285714,5.33333333333333,4.2,5.46153846153846,4.375,3.11111111111111,3.625,3,2.8
3.92,6,1.83333333333333,3.625,6,6,3.8,6,4.5,4,4.125,2,2.86666666666667
3.52,5.73333333333333,2.16666666666667,3.625,5.78571428571429,5.6,3.6,5.53846153846154,5.375,4.22222222222222,4.125,3.125,2.93333333333333
2.96,5.53333333333333,2.25,3.25,4.5,5.2,3.8,5.30769230769231,4.75,3.22222222222222,3.875,2.75,3.06666666666667
4.2,5.73333333333333,2.08333333333333,3.625,5.07142857142857,6.13333333333333,3.2,5.76923076923077,5.125,3.88888888888889,4.375,2.875,3
2.84,4.6,1.75,3,5.5,5.33333333333333,4.6,4.30769230769231,3.875,2.66666666666667,3.625,3.25,2.93333333333333
3.92,5.73333333333333,2.66666666666667,3.75,6,5.73333333333333,3.6,6,6.125,3.77777777777778,4,2.875,3
2.24,5.26666666666667,2.33333333333333,3.5,5.64285714285714,5.2,5,5.07692307692308,5.625,3.33333333333333,3.625,3.375,2.73333333333333
3.72,5.6,2.25,3,5,5.8,5.2,5,4.25,4,3.75,2.5,2.73333333333333
3.32,5.4,1.5,3,6,5.4,3.4,4.84615384615385,4.625,3.44444444444444,3.25,2.625,2.53333333333333
2.88,6.33333333333333,2.5,3.625,5.57142857142857,5.8,3.4,6.53846153846154,3.625,3.77777777777778,4.375,2.75,3.13333333333333
3.48,5.2,2.5,3.375,5.07142857142857,5,3.8,5.15384615384615,5,4.55555555555556,3.625,3.75,3.13333333333333
5,5.4,1.5,3,5.71428571428571,5.26666666666667,5,5.38461538461539,3,5,5,1,2.8
3.52,6.06666666666667,2.75,3.75,5.92857142857143,5.93333333333333,3.8,6.76923076923077,6.25,4,4.25,3.125,3.26666666666667
3.12,5.26666666666667,3.08333333333333,3.125,5.57142857142857,5.4,4,5.23076923076923,6.5,3.77777777777778,3.625,2.875,2.8
4.84,6.4,2.16666666666667,4.25,6.14285714285714,6.46666666666667,4.4,6.07692307692308,6.5,5,4.75,3.375,3.6
4,6.33333333333333,2.66666666666667,4.125,6.21428571428571,6.13333333333333,3.8,6.15384615384615,5.875,4.66666666666667,4.25,2.625,3.13333333333333
4.32,6.66666666666667,2.16666666666667,3.5,6.92857142857143,5.93333333333333,3.4,6.92307692307692,3.625,3.77777777777778,4.5,3,3.26666666666667
3.04,4.86666666666667,2.16666666666667,3.625,5.07142857142857,5,4,4.69230769230769,5.125,3.22222222222222,3.625,3.5,2.93333333333333
2.32,5.33333333333333,1.83333333333333,3.375,5.07142857142857,4.86666666666667,5.2,3.76923076923077,4.75,3.77777777777778,3.125,2.5,2.46666666666667
3.68,6.06666666666667,3.25,3.875,6.42857142857143,5.8,3.2,6.07692307692308,6,4.33333333333333,4.125,3.875,3.26666666666667
4.36,5.26666666666667,2.91666666666667,4,5,5.13333333333333,4.2,4.92307692307692,4.125,3.77777777777778,4.25,3.5,3.53333333333333
4.64,6.93333333333333,2.5,4.125,6.85714285714286,6.93333333333333,3.4,6.92307692307692,5.875,4.66666666666667,4.625,3.75,3.4
